"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4289","should display all recharge models at the bottom of the page","","Sat Nov 23 16:17:21 IST 2024","passed","Sat Nov 23 16:17:25 IST 2024","","Verify safety page","",""
"","2230","should the man with volvo image is visible on the page","","Sat Nov 23 16:16:30 IST 2024","passed","Sat Nov 23 16:16:32 IST 2024","","Verify Overview section","",""
"","28747","should navigate and display urls and banner content","","Sat Nov 23 16:16:32 IST 2024","passed","Sat Nov 23 16:17:01 IST 2024","","Verify safety page","",""
"","2324","should display all the header tabs","","Sat Nov 23 16:16:30 IST 2024","passed","Sat Nov 23 16:16:32 IST 2024","","Verify safety page","",""
"","2125","should display proper overview content","","Sat Nov 23 16:16:27 IST 2024","passed","Sat Nov 23 16:16:30 IST 2024","","Verify Overview section","",""
"","17818","should display video with its appropriate attributes","","Sat Nov 23 16:16:31 IST 2024","passed","Sat Nov 23 16:16:49 IST 2024","","Verify Research page","",""
"","145","should display all the sub menus","","Sat Nov 23 16:16:32 IST 2024","passed","Sat Nov 23 16:16:32 IST 2024","","Verify safety page","",""
"","2087","should launch and display application logo","","Sat Nov 23 16:16:28 IST 2024","passed","Sat Nov 23 16:16:30 IST 2024","","Verify safety page","",""
"","19782","should display back to top button and should function properly","","Sat Nov 23 16:17:01 IST 2024","passed","Sat Nov 23 16:17:21 IST 2024","","Verify safety page","",""
"","19329","should compare fullpage screenshot","","Sat Nov 23 16:16:28 IST 2024","passed","Sat Nov 23 16:16:47 IST 2024","","Visual regression comparison","",""
"","4302","should compare an element with the baseline","","Sat Nov 23 16:16:47 IST 2024","passed","Sat Nov 23 16:16:51 IST 2024","","Visual regression comparison","",""
"","13629","show more should expand area and display showless action","","Sat Nov 23 16:16:49 IST 2024","passed","Sat Nov 23 16:17:02 IST 2024","","Verify Research page","",""
